opportunity_id,opportunity_name,category,opportunity_code,tracking_questions
Opportunity#00000000102S9XBS7SM4KB0Q57,Secrets to Operational Excellence Course,Course,URMUHH7,"{""serial_number"":""1"",""is_required_for_badge_award"":""true"",""code"":""QPPQPNE"",""question"":""Submitted deliverables?"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""2"",""is_required_for_badge_award"":""true"",""code"":""QHOKKJX"",""question"":""Submitted reflection and Feedback"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""0"",""code"":""Team"",""is_required_for_badge_award"":""false"",""question"":""Group Info"",""is_frozen"":""false"",""ans_type"":""string""},{""serial_number"":""1"",""code"":""QIOUQX0"",""is_required_for_badge_award"":""false"",""question"":""Additional Notes"",""is_frozen"":""false"",""ans_type"":""string""}"
Opportunity#00000000102XCC8XC7RBJBYCTQ,Data to Decisions: The Ultimate Market Research Course,Course,U3CQK54,"{""serial_number"":""1"",""is_required_for_badge_award"":""true"",""code"":""QS7A5LH"",""question"":""Submitted deliverables ?"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""2"",""is_required_for_badge_award"":""true"",""code"":""Q6Q9383"",""question"":""Submitted Reflective Video ?"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""0"",""code"":""Team"",""is_required_for_badge_award"":""false"",""question"":""Group Info"",""is_frozen"":""false"",""ans_type"":""string""},{""serial_number"":""1"",""code"":""QSI7R16"",""is_required_for_badge_award"":""false"",""question"":""Additional Notes"",""is_frozen"":""false"",""ans_type"":""string""}"
Opportunity#0000000010328YDQFB2AWFAT4Y,Urban Futurism: Crafting the next generation of smart cities,Competition,MY6O3TV,"{""serial_number"":""1"",""is_required_for_badge_award"":""true"",""code"":""QU7UHN9"",""question"":""Submitted deliverables"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""2"",""is_required_for_badge_award"":""true"",""code"":""QIOEZZC"",""question"":""Submitted Reflection and feedback"",""is_frozen"":""false"",""ans_type"":""boolean""},{""code"":""Q0OBWBS"",""is_required_for_badge_award"":""false"",""question"":""Additional Notes"",""is_frozen"":""false"",""ans_type"":""string""}"
Opportunity#00000000103RQ5P22YBAHDY9D6,Human Resource Manager,Career,AASK2XU,"{""serial_number"":""1"",""is_required_for_badge_award"":""false"",""code"":""QH0S2K6"",""question"":""Has the candidate completed his tenure successfully at Pepagora?"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""0"",""code"":""Team"",""is_required_for_badge_award"":""false"",""question"":""Group Info"",""is_frozen"":""false"",""ans_type"":""string""},{""serial_number"":""1"",""code"":""QGZBISD"",""is_required_for_badge_award"":""false"",""question"":""Additional Notes"",""is_frozen"":""false"",""ans_type"":""string""}"
Opportunity#00000000103VQ3NKTN4ZRNWT0X,Global Information Transparency Challenge,Competition,MODENTV,"{""serial_number"":""1"",""is_required_for_badge_award"":""true"",""code"":""QYCBU7D"",""question"":""Submitted Deliverables"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""2"",""is_required_for_badge_award"":""true"",""code"":""QZJV6S7"",""question"":""Submitted Reflection and Feedback"",""is_frozen"":""false"",""ans_type"":""boolean""},{""code"":""QGYRMIO"",""is_required_for_badge_award"":""false"",""question"":""Additional Notes"",""is_frozen"":""false"",""ans_type"":""string""}"
Opportunity#000000001041V3K3YZTSZY68T7,Storytelling Through Digital Innovation Challenge,Competition,MDL3K7I,"{""serial_number"":""1"",""is_required_for_badge_award"":""true"",""code"":""QTN89KX"",""question"":""Sumitted Deliverable"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""2"",""is_required_for_badge_award"":""true"",""code"":""QII6RUV"",""question"":""Submitted Reflection and Feedback"",""is_frozen"":""false"",""ans_type"":""boolean""},{""code"":""QEYFRXR"",""is_required_for_badge_award"":""false"",""question"":""Additional Notes"",""is_frozen"":""false"",""ans_type"":""string""}"
Opportunity#00000000104S4KCDCQ5VTDZB90,Digital Detox Challenge,Competition,MKTIZ9S,"{""serial_number"":""1"",""is_required_for_badge_award"":""true"",""code"":""QPFC0MB"",""question"":""Submitted Assingment"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""2"",""is_required_for_badge_award"":""true"",""code"":""QN751C2"",""question"":""Submitted Reflective video"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""0"",""code"":""Team"",""is_required_for_badge_award"":""false"",""question"":""Group Info"",""is_frozen"":""false"",""ans_type"":""string""},{""serial_number"":""1"",""code"":""Q8RFA62"",""is_required_for_badge_award"":""false"",""question"":""Additional Notes"",""is_frozen"":""false"",""ans_type"":""string""}"
Opportunity#00000000104SZ1BFR638P058YP,Business Development Virtual Internship ,Internship,IL06G6K,"{""serial_number"":""-1"",""code"":""QHCUKN2"",""is_required_for_badge_award"":""true"",""question"":"">=90% average score (Manager+Self+Peer) to be eligible for star performer"",""is_frozen"":""true"",""ans_type"":""boolean""},{""is_required_for_badge_award"":""false"",""code"":""Q5BX47I"",""question"":""Team Number"",""is_frozen"":""false"",""ans_type"":""boolean""},{""is_required_for_badge_award"":""false"",""code"":""Q2RQ7NB"",""question"":""Talent Manager Name"",""is_frozen"":""false"",""ans_type"":""boolean""},{""is_required_for_badge_award"":""false"",""code"":""QSVSM0I"",""question"":""Attended Orientation"",""is_frozen"":""false"",""ans_type"":""boolean""},{""is_required_for_badge_award"":""true"",""code"":""QSEBAWY"",""question"":""Week 1 Active"",""is_frozen"":""false"",""ans_type"":""boolean""},{""is_required_for_badge_award"":""true"",""code"":""QM5TWWV"",""question"":""Week 2 Active"",""is_frozen"":""false"",""ans_type"":""boolean""},{""is_required_for_badge_award"":""true"",""code"":""QITLSYY"",""question"":""Week 3 Active"",""is_frozen"":""false"",""ans_type"":""boolean""},{""is_required_for_badge_award"":""true"",""code"":""QTB7HI7"",""question"":""Week 4 Active"",""is_frozen"":""false"",""ans_type"":""boolean""},{""is_required_for_badge_award"":""true"",""code"":""QOU4YLT"",""question"":""Submitted Feedback Form"",""is_frozen"":""false"",""ans_type"":""boolean""},{""is_required_for_badge_award"":""true"",""code"":""QKE2QZM"",""question"":""Submitted Reflective Video"",""is_frozen"":""false"",""ans_type"":""boolean""},{""is_required_for_badge_award"":""true"",""code"":""QR3XELC"",""question"":""Submitted Self Evaluation"",""is_frozen"":""false"",""ans_type"":""boolean""},{""is_required_for_badge_award"":""true"",""code"":""QP4R97C"",""question"":""Submitted Peer Evaluation"",""is_frozen"":""false"",""ans_type"":""boolean""},{""is_required_for_badge_award"":""true"",""code"":""QHL0J3Z"",""question"":""Communication Score (To be discussed with Department Manager)"",""is_frozen"":""false"",""ans_type"":""number""},{""is_required_for_badge_award"":""true"",""code"":""QXO7HJF"",""question"":""Collaboration Score (To be discussed with Department Manager)"",""is_frozen"":""false"",""ans_type"":""number""},{""is_required_for_badge_award"":""true"",""code"":""QRA9C6F"",""question"":""Self Motivation & Initiative Score (To be discussed with Department Manager)"",""is_frozen"":""false"",""ans_type"":""number""},{""is_required_for_badge_award"":""true"",""code"":""QEI9FW7"",""question"":""Problem Solving Score(To be discussed with Department Manager)"",""is_frozen"":""false"",""ans_type"":""number""},{""is_required_for_badge_award"":""true"",""code"":""QWQ40BF"",""question"":""Remote Work Ability Score(To be discussed with Department Manager)"",""is_frozen"":""false"",""ans_type"":""number""},{""is_required_for_badge_award"":""true"",""code"":""QIW0QTG"",""question"":"">=70% peer evaluation score to be eligible for internship completion"",""is_frozen"":""false"",""ans_type"":""boolean""}"
Opportunity#00000000104T84MQ9B7AKTRBS9,Sustainable Architecture Showdown,Competition,MG68WVK,"{""serial_number"":""1"",""is_required_for_badge_award"":""true"",""code"":""QUE8MRL"",""question"":""Submitted Deliverables"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""2"",""is_required_for_badge_award"":""true"",""code"":""QGK4A49"",""question"":""Submitted Feedback and Reflection"",""is_frozen"":""false"",""ans_type"":""boolean""},{""code"":""QOIXGZK"",""is_required_for_badge_award"":""false"",""question"":""Additional Notes"",""is_frozen"":""false"",""ans_type"":""string""}"
Opportunity#00000000104VSYRJ7511TSS1BF,Digital Marketing Virtual Internship,Internship,INX3D9P,"{""serial_number"":""2"",""code"":""Q2LNH2C"",""is_required_for_badge_award"":""true"",""question"":""Submitted Reflection Video and Feedback Form"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""1"",""code"":""Q0PE2TY"",""is_required_for_badge_award"":""true"",""question"":""Submitted all 4 week Deliverables"",""is_frozen"":""false"",""ans_type"":""boolean""},{""code"":""QUOTYO7"",""is_required_for_badge_award"":""false"",""question"":""Additional Notes"",""is_frozen"":""false"",""ans_type"":""string""}"
Opportunity#00000000105DMHKCM7B2QDXD9E,Application Processing Intern,Career,A92XB4H,NULL
Opportunity#00000000106CWKT5MTTRS1NB41,Electrostatic Discharge Virtual Internship,Internship,ILBR9DW,"{""serial_number"":""1"",""is_required_for_badge_award"":""true"",""code"":""QEOOLU2"",""question"":""Submitted Deliverables ?"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""2"",""is_required_for_badge_award"":""true"",""code"":""QQKI9PN"",""question"":""Submitted Reflective Video ?"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""0"",""code"":""Team"",""is_required_for_badge_award"":""false"",""question"":""Group Info"",""is_frozen"":""false"",""ans_type"":""string""},{""serial_number"":""1"",""code"":""QKA059R"",""is_required_for_badge_award"":""false"",""question"":""Additional Notes"",""is_frozen"":""false"",""ans_type"":""string""}"
Opportunity#00000000106FMJNZK5SVQ9PW35,Resilient Communities Challenge: Thrive Together,Competition,MGIK3RO,"{""is_required_for_badge_award"":""true"",""code"":""QSL99CU"",""question"":""Submission: Deliverable "",""is_frozen"":""false"",""ans_type"":""boolean""},{""is_required_for_badge_award"":""true"",""code"":""Q2PRXKC"",""question"":""Submission: Feedback Form"",""is_frozen"":""false"",""ans_type"":""boolean""},{""is_required_for_badge_award"":""true"",""code"":""QIIEQRG"",""question"":""Submission: Reflection Video"",""is_frozen"":""false"",""ans_type"":""boolean""},{""code"":""Q57KAPU"",""is_required_for_badge_award"":""false"",""question"":""Additional Notes"",""is_frozen"":""false"",""ans_type"":""string""}"
Opportunity#00000000106TFSAJKDBX40ZGNV,UrbanRenew Challenge,Competition,MO6ICDB,"{""is_required_for_badge_award"":""true"",""code"":""QFWKWDM"",""question"":""Submitted Deliverable"",""is_frozen"":""false"",""ans_type"":""boolean""},{""is_required_for_badge_award"":""true"",""code"":""QBRIOYX"",""question"":""Submitted Reflection"",""is_frozen"":""false"",""ans_type"":""boolean""},{""is_required_for_badge_award"":""true"",""code"":""QDSGJHV"",""question"":""Submitted Feedback"",""is_frozen"":""false"",""ans_type"":""boolean""},{""code"":""QTSNAPL"",""is_required_for_badge_award"":""false"",""question"":""Additional Notes"",""is_frozen"":""false"",""ans_type"":""string""}"
Opportunity#00000000106YSVYZ2WNJ29PZZN,Mastering LinkedIn for Career Advancement,Course,UJF7XGO,"{""serial_number"":""1"",""is_required_for_badge_award"":""true"",""code"":""Q4M788D"",""question"":""All delieverables submitted"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""2"",""is_required_for_badge_award"":""true"",""code"":""QBVIO0C"",""question"":""Feedback and Reflection Submitted"",""is_frozen"":""false"",""ans_type"":""boolean""},{""code"":""QID2ZYR"",""is_required_for_badge_award"":""false"",""question"":""Additional Notes"",""is_frozen"":""false"",""ans_type"":""string""}"
Opportunity#00000000107DT690M8FCRX5A3S,Graphic Design Associate,Career,ATK71AK,"{""serial_number"":""1"",""is_required_for_badge_award"":""false"",""code"":""Q546OEG"",""question"":""Has the candidate performed his duties to the best of his ability as a graphic designer?"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""0"",""code"":""Team"",""is_required_for_badge_award"":""false"",""question"":""Group Info"",""is_frozen"":""false"",""ans_type"":""string""},{""serial_number"":""1"",""code"":""QW3QYPE"",""is_required_for_badge_award"":""false"",""question"":""Additional Notes"",""is_frozen"":""false"",""ans_type"":""string""}"
Opportunity#00000000107KEQYW6W3D8QD97D,Relationship Associate,Career,AC6V5PO,"{""serial_number"":""1"",""is_required_for_badge_award"":""false"",""code"":""QIHK1KU"",""question"":""Has the candidate performed consistently?"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""0"",""code"":""Team"",""is_required_for_badge_award"":""false"",""question"":""Group Info"",""is_frozen"":""false"",""ans_type"":""string""},{""serial_number"":""1"",""code"":""QCWLEUQ"",""is_required_for_badge_award"":""false"",""question"":""Additional Notes"",""is_frozen"":""false"",""ans_type"":""string""}"
Opportunity#00000000107QA346MCS2D7FE69,Money Matters: A Personal Finance Workshop,Event,EIL90NW,NULL
Opportunity#0000000010864WVF3E9R3CXVDW,AI in Health Care,Competition,M9S5RH3,"{""serial_number"":""1"",""is_required_for_badge_award"":""true"",""code"":""QZROZTJ"",""question"":""Submitted Deliverables"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""2"",""is_required_for_badge_award"":""true"",""code"":""Q7TWJTQ"",""question"":""Submitted Reflection and Feedback Form"",""is_frozen"":""false"",""ans_type"":""boolean""},{""code"":""Q27TN55"",""is_required_for_badge_award"":""false"",""question"":""Additional Notes"",""is_frozen"":""false"",""ans_type"":""string""}"
Opportunity#00000000108CRVV6WHDZN7G0H8,Aeroflow Challenge,Competition,M6DZAHD,"{""is_required_for_badge_award"":""true"",""code"":""Q6GMNA2"",""question"":""Submission: Deliverable"",""is_frozen"":""false"",""ans_type"":""boolean""},{""is_required_for_badge_award"":""true"",""code"":""Q7Z1QIH"",""question"":""Submission: Feedback Form"",""is_frozen"":""false"",""ans_type"":""boolean""},{""is_required_for_badge_award"":""true"",""code"":""QX7DGTF"",""question"":""Submission: Reflection Video "",""is_frozen"":""false"",""ans_type"":""boolean""},{""code"":""QMSYA8W"",""is_required_for_badge_award"":""false"",""question"":""Additional Notes"",""is_frozen"":""false"",""ans_type"":""string""}"
Opportunity#00000000108FJWZQ0TZA02JZDR,Tulip Application Development Internship,Internship,IYD9BLK,"{""serial_number"":""1"",""is_required_for_badge_award"":""true"",""code"":""QP551CC"",""question"":""Submitted week 1 Deliverables? "",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""2"",""is_required_for_badge_award"":""true"",""code"":""Q3KTL5R"",""question"":""Submitted week 2 Deliverables? "",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""3"",""is_required_for_badge_award"":""true"",""code"":""QCHW5WU"",""question"":""Submitted week 3 Deliverables? "",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""4"",""is_required_for_badge_award"":""true"",""code"":""QC45P8M"",""question"":""Submitted week 4 Deliverables? "",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""5"",""is_required_for_badge_award"":""true"",""code"":""QYHE671"",""question"":""Submitted Reflective Video? "",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""0"",""code"":""Team"",""is_required_for_badge_award"":""false"",""question"":""Group Info"",""is_frozen"":""false"",""ans_type"":""string""},{""serial_number"":""1"",""code"":""QWP1S2J"",""is_required_for_badge_award"":""false"",""question"":""Additional Notes"",""is_frozen"":""false"",""ans_type"":""string""}"
Opportunity#00000000108KF6CFBE1S0JHYYG,Mental Health First Aid Workshop,Event,E6BWMDE,NULL
Opportunity#00000000108Y17ZT1010B6779Z,Lens Masters: A Photography Contest,Competition,M0MGWT0,"{""is_required_for_badge_award"":""true"",""code"":""QLYST3F"",""question"":""Submitted Deliverables"",""is_frozen"":""false"",""ans_type"":""boolean""},{""is_required_for_badge_award"":""true"",""code"":""QQZ7H7N"",""question"":""Submitted Reflection"",""is_frozen"":""false"",""ans_type"":""boolean""},{""is_required_for_badge_award"":""true"",""code"":""QU3NZ8C"",""question"":""Submitted Feedback Form"",""is_frozen"":""false"",""ans_type"":""boolean""}"
Opportunity#000000001097790GZQ7BSZGT4W,University Admissions Training,Course,URSNFSH,"{""serial_number"":""1"",""is_required_for_badge_award"":""true"",""code"":""Q4NRFN8"",""question"":""Submitted all deliverables?"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""2"",""is_required_for_badge_award"":""true"",""code"":""QZZX2PA"",""question"":""Submitted reflection video?"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""0"",""code"":""Team"",""is_required_for_badge_award"":""false"",""question"":""Group Info"",""is_frozen"":""false"",""ans_type"":""string""},{""serial_number"":""1"",""code"":""QPF4948"",""is_required_for_badge_award"":""false"",""question"":""Additional Notes"",""is_frozen"":""false"",""ans_type"":""string""}"
Opportunity#000000001098KY7BZFZ43NAVFX,The Brand Booster Challenge,Competition,M9MH7CS,NULL
Opportunity#000000001099PVPZSGE2SCWRN5,University Operations Associate (Full Time),Career,AUCX0B3,NULL
Opportunity#00000000109QG2236S0KXRDSK3,Raise the Awareness: Health Campaigns Through Media,Course,ULNC3Z3,"{""serial_number"":""1"",""is_required_for_badge_award"":""true"",""code"":""QGLM94V"",""question"":""Deliverables Submitted"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""2"",""is_required_for_badge_award"":""true"",""code"":""QJ6VG3F"",""question"":""Feedback and Reflection Submitted"",""is_frozen"":""false"",""ans_type"":""boolean""},{""code"":""QWA5C0O"",""is_required_for_badge_award"":""false"",""question"":""Additional Notes"",""is_frozen"":""false"",""ans_type"":""string""}"
